,date,0_4,5_11,12_18,19_49,50_64,65+,65_diff,50_64_diff,19_49_diff,12_18_diff,5_11_diff
83,02/22/2023,0,0,0,0,0,0,0.0,0,0,0,0
84,02/23/2023,0,0,0,0,0,0,0.0,0,0,0,0
85,02/24/2023,0,0,0,0,0,0,0.0,0,0,0,0
86,02/25/2023,0,0,0,0,0,0,0.0,0,0,0,0
87,02/26/2023,0,0,0,0,0,0,0.0,0,0,0,0
88,02/27/2023,0,0,0,0,0,0,0.0,0,0,0,0
89,02/28/2023,0,0,0,0,0,0,0.0,0,0,0,0
90,03/01/2023,0,0,0,0,0,0,0.0,0,0,0,0
91,03/02/2023,0,0,0,0,0,0,0.0,0,0,0,0
92,03/03/2023,0,0,0,0,0,0,0.0,0,0,0,0
93,03/04/2023,0,0,0,0,0,0,0.0,0,0,0,0
94,03/05/2023,0,0,0,0,0,0,0.0,0,0,0,0
95,03/06/2023,0,0,0,0,0,0,0.0,0,0,0,0
96,03/07/2023,0,0,0,0,0,0,0.0,0,0,0,0
97,03/08/2023,0,0,0,0,0,0,0.0,0,0,0,0
98,03/09/2023,0,0,0,0,0,0,0.0,0,0,0,0
99,03/10/2023,0,0,0,0,0,0,0.0,0,0,0,0
100,03/11/2023,0,0,0,0,0,0,0.0,0,0,0,0
101,03/12/2023,0,0,0,0,0,0,0.0,0,0,0,0
102,03/13/2023,0,0,0,0,0,0,0.0,0,0,0,0
103,03/14/2023,0,0,0,0,0,0,0.0,0,0,0,0
104,03/15/2023,0,0,0,0,0,0,0.0,0,0,0,0
105,03/16/2023,0,0,0,0,0,0,0.0,0,0,0,0
106,03/17/2023,0,0,0,0,0,0,0.0,0,0,0,0
107,03/18/2023,0,0,0,0,0,0,0.0,0,0,0,0
108,03/19/2023,0,0,0,0,0,0,0.0,0,0,0,0
109,03/20/2023,0,0,0,0,0,0,0.0,0,0,0,0
110,03/21/2023,0,0,0,0,0,0,0.0,0,0,0,0
111,03/22/2023,0,0,0,0,0,0,0.0,0,0,0,0
