,date,total,0-4 yr,5-11 yr,12-17 yr,18-49 yr,50-64 yr,65+ yr,0-0.5 yr,0.5-1 yr,1-2 yr,2-4 yr
132,2022/02/13,60.53095742857143,28.25503857142857,8.17270542857143,0.0,0.0,9.144754857142857,14.958458571428572,20.838090946428572,6.357383678571429,2.8255038571428575,1.4127519285714287
133,2022/02/14,78.05135328571428,42.38255785714286,4.086352714285715,0.0,0.0,9.144754857142857,22.437687857142855,31.433730410714286,4.238255785714285,6.357383678571429,4.238255785714285
134,2022/02/15,78.05135328571428,42.38255785714286,4.086352714285715,0.0,0.0,9.144754857142857,22.437687857142855,31.433730410714286,4.238255785714285,6.357383678571429,4.238255785714285
135,2022/02/16,78.05135328571428,42.38255785714286,4.086352714285715,0.0,0.0,9.144754857142857,22.437687857142855,31.433730410714286,4.238255785714285,6.357383678571429,4.238255785714285
136,2022/02/17,78.05135328571428,42.38255785714286,4.086352714285715,0.0,0.0,9.144754857142857,22.437687857142855,31.433730410714286,4.238255785714285,6.357383678571429,4.238255785714285
137,2022/02/18,78.05135328571428,42.38255785714286,4.086352714285715,0.0,0.0,9.144754857142857,22.437687857142855,31.433730410714286,4.238255785714285,6.357383678571429,4.238255785714285
138,2022/02/19,78.05135328571428,42.38255785714286,4.086352714285715,0.0,0.0,9.144754857142857,22.437687857142855,31.433730410714286,4.238255785714285,6.357383678571429,4.238255785714285
139,2022/02/20,78.05135328571428,42.38255785714286,4.086352714285715,0.0,0.0,9.144754857142857,22.437687857142855,31.433730410714286,4.238255785714285,6.357383678571429,4.238255785714285
140,2022/02/21,81.87413942857143,53.68457328571428,4.086352714285715,0.0,0.0,9.144754857142857,14.958458571428572,22.957218839285716,20.838090946428572,8.47651157142857,5.651007714285715
141,2022/02/22,81.87413942857143,53.68457328571428,4.086352714285715,0.0,0.0,9.144754857142857,14.958458571428572,22.957218839285716,20.838090946428572,8.47651157142857,5.651007714285715
142,2022/02/23,81.87413942857143,53.68457328571428,4.086352714285715,0.0,0.0,9.144754857142857,14.958458571428572,22.957218839285716,20.838090946428572,8.47651157142857,5.651007714285715
143,2022/02/24,81.87413942857143,53.68457328571428,4.086352714285715,0.0,0.0,9.144754857142857,14.958458571428572,22.957218839285716,20.838090946428572,8.47651157142857,5.651007714285715
144,2022/02/25,81.87413942857143,53.68457328571428,4.086352714285715,0.0,0.0,9.144754857142857,14.958458571428572,22.957218839285716,20.838090946428572,8.47651157142857,5.651007714285715
145,2022/02/26,81.87413942857143,53.68457328571428,4.086352714285715,0.0,0.0,9.144754857142857,14.958458571428572,22.957218839285716,20.838090946428572,8.47651157142857,5.651007714285715
146,2022/02/27,81.87413942857143,53.68457328571428,4.086352714285715,0.0,0.0,9.144754857142857,14.958458571428572,22.957218839285716,20.838090946428572,8.47651157142857,5.651007714285715
147,2022/02/28,66.48577128571429,42.38255785714286,0.0,0.0,0.0,9.144754857142857,14.958458571428572,25.076346732142856,10.595639464285714,7.063759642857143,1.4127519285714287
148,2022/03/01,66.48577128571429,42.38255785714286,0.0,0.0,0.0,9.144754857142857,14.958458571428572,25.076346732142856,10.595639464285714,7.063759642857143,1.4127519285714287
149,2022/03/02,66.48577128571429,42.38255785714286,0.0,0.0,0.0,9.144754857142857,14.958458571428572,25.076346732142856,10.595639464285714,7.063759642857143,1.4127519285714287
150,2022/03/03,66.48577128571429,42.38255785714286,0.0,0.0,0.0,9.144754857142857,14.958458571428572,25.076346732142856,10.595639464285714,7.063759642857143,1.4127519285714287
151,2022/03/04,66.48577128571429,42.38255785714286,0.0,0.0,0.0,9.144754857142857,14.958458571428572,25.076346732142856,10.595639464285714,7.063759642857143,1.4127519285714287
152,2022/03/05,66.48577128571429,42.38255785714286,0.0,0.0,0.0,9.144754857142857,14.958458571428572,25.076346732142856,10.595639464285714,7.063759642857143,1.4127519285714287
153,2022/03/06,66.48577128571429,42.38255785714286,0.0,0.0,0.0,9.144754857142857,14.958458571428572,25.076346732142856,10.595639464285714,7.063759642857143,1.4127519285714287
154,2022/03/07,90.61421757142858,50.85906942857143,8.17270542857143,0.0,0.0,9.144754857142857,22.437687857142855,33.552858303571426,8.47651157142857,6.357383678571429,9.889263499999998
155,2022/03/08,90.61421757142858,50.85906942857143,8.17270542857143,0.0,0.0,9.144754857142857,22.437687857142855,33.552858303571426,8.47651157142857,6.357383678571429,9.889263499999998
156,2022/03/09,90.61421757142858,50.85906942857143,8.17270542857143,0.0,0.0,9.144754857142857,22.437687857142855,33.552858303571426,8.47651157142857,6.357383678571429,9.889263499999998
157,2022/03/10,90.61421757142858,50.85906942857143,8.17270542857143,0.0,0.0,9.144754857142857,22.437687857142855,33.552858303571426,8.47651157142857,6.357383678571429,9.889263499999998
158,2022/03/11,90.61421757142858,50.85906942857143,8.17270542857143,0.0,0.0,9.144754857142857,22.437687857142855,33.552858303571426,8.47651157142857,6.357383678571429,9.889263499999998
159,2022/03/12,90.61421757142858,50.85906942857143,8.17270542857143,0.0,0.0,9.144754857142857,22.437687857142855,33.552858303571426,8.47651157142857,6.357383678571429,9.889263499999998
160,2022/03/13,90.61421757142858,50.85906942857143,8.17270542857143,0.0,0.0,9.144754857142857,22.437687857142855,33.552858303571426,8.47651157142857,6.357383678571429,9.889263499999998
161,2022/03/14,88.76076314285714,48.03356557142857,0.0,0.0,0.0,18.289509714285714,22.437687857142855,16.95302314285714,14.833895250000001,12.714767357142858,4.238255785714285
162,2022/03/15,88.76076314285714,48.03356557142857,0.0,0.0,0.0,18.289509714285714,22.437687857142855,16.95302314285714,14.833895250000001,12.714767357142858,4.238255785714285
163,2022/03/16,88.76076314285714,48.03356557142857,0.0,0.0,0.0,18.289509714285714,22.437687857142855,16.95302314285714,14.833895250000001,12.714767357142858,4.238255785714285
164,2022/03/17,88.76076314285714,48.03356557142857,0.0,0.0,0.0,18.289509714285714,22.437687857142855,16.95302314285714,14.833895250000001,12.714767357142858,4.238255785714285
165,2022/03/18,88.76076314285714,48.03356557142857,0.0,0.0,0.0,18.289509714285714,22.437687857142855,16.95302314285714,14.833895250000001,12.714767357142858,4.238255785714285
166,2022/03/19,88.76076314285714,48.03356557142857,0.0,0.0,0.0,18.289509714285714,22.437687857142855,16.95302314285714,14.833895250000001,12.714767357142858,4.238255785714285
167,2022/03/20,88.76076314285714,48.03356557142857,0.0,0.0,0.0,18.289509714285714,22.437687857142855,16.95302314285714,14.833895250000001,12.714767357142858,4.238255785714285
