,date,0_4,5_12,13_17,18_49,50_64,65+
0,08/08/2022,893.8309834919361,3521.1567504064774,2261.4377324229404,10185.230130443531,4033.84478573994,0
1,08/09/2022,893.8309834919361,3521.1567504064774,2261.4377324229404,10185.230130443531,4033.84478573994,0
2,08/10/2022,893.8309834919361,3521.1567504064774,2261.4377324229404,10185.230130443531,4033.84478573994,0
3,08/11/2022,893.8309834919361,3521.1567504064774,2261.4377324229404,10185.230130443531,4033.84478573994,0
4,08/12/2022,893.8309834919361,3521.1567504064774,2261.4377324229404,10185.230130443531,4033.84478573994,0
5,08/13/2022,893.8309834919361,3521.1567504064774,2261.4377324229404,10185.230130443531,4033.84478573994,0
6,08/15/2022,910.8504103210558,0.0,0.0,0.0,0.0,0
7,08/16/2022,910.8504103210558,0.0,0.0,0.0,0.0,0
8,08/17/2022,910.8504103210558,0.0,0.0,0.0,0.0,0
9,08/18/2022,910.8504103210558,0.0,0.0,0.0,0.0,0
10,08/19/2022,910.8504103210558,0.0,0.0,0.0,0.0,0
11,08/20/2022,910.8504103210558,0.0,0.0,0.0,0.0,0
12,08/22/2022,871.0119098981403,73.60698727255449,14.662538559127155,0.0,0.0,1131.5844732982719
13,08/23/2022,871.0119098981403,73.60698727255449,14.662538559127155,0.0,0.0,1131.5844732982719
14,08/24/2022,871.0119098981403,73.60698727255449,14.662538559127155,0.0,0.0,1131.5844732982719
15,08/25/2022,871.0119098981403,73.60698727255449,14.662538559127155,0.0,0.0,1131.5844732982719
16,08/26/2022,871.0119098981403,73.60698727255449,14.662538559127155,0.0,0.0,1131.5844732982719
17,08/27/2022,871.0119098981403,73.60698727255449,14.662538559127155,0.0,0.0,1131.5844732982719
18,08/29/2022,1226.0669388418364,809.8676477724978,373.89875462531575,1286.6487854379623,982.0203671247478,2812.764786080416
19,08/30/2022,1226.0669388418364,809.8676477724978,373.89875462531575,1286.6487854379623,982.0203671247478,2812.764786080416
20,08/31/2022,1226.0669388418364,809.8676477724978,373.89875462531575,1286.6487854379623,982.0203671247478,2812.764786080416
21,09/01/2022,1226.0669388418364,809.8676477724978,373.89875462531575,1286.6487854379623,982.0203671247478,2812.764786080416
22,09/02/2022,1226.0669388418364,809.8676477724978,373.89875462531575,1286.6487854379623,982.0203671247478,2812.764786080416
