,date,0_4,5_12,13_17,18_49,50_64,65+
0,08/08/2022,1311.0478601781163,2338.586598438366,0,3312.8920183001565,341.7509964615764,4821.636040982605
1,08/09/2022,1311.0478601781163,2338.586598438366,0,3312.8920183001565,341.7509964615764,4821.636040982605
2,08/10/2022,1311.0478601781163,2338.586598438366,0,3312.8920183001565,341.7509964615764,4821.636040982605
3,08/11/2022,1311.0478601781163,2338.586598438366,0,3312.8920183001565,341.7509964615764,4821.636040982605
4,08/12/2022,1311.0478601781163,2338.586598438366,0,3312.8920183001565,341.7509964615764,4821.636040982605
5,08/13/2022,1311.0478601781163,2338.586598438366,0,3312.8920183001565,341.7509964615764,4821.636040982605
6,08/15/2022,320.6421456004887,0.0,34.9716765493872,0.0,0.0,0.0
7,08/16/2022,320.6421456004887,0.0,34.9716765493872,0.0,0.0,0.0
8,08/17/2022,320.6421456004887,0.0,34.9716765493872,0.0,0.0,0.0
9,08/18/2022,320.6421456004887,0.0,34.9716765493872,0.0,0.0,0.0
10,08/19/2022,320.6421456004887,0.0,34.9716765493872,0.0,0.0,0.0
11,08/20/2022,320.6421456004887,0.0,34.9716765493872,0.0,0.0,0.0
12,08/22/2022,292.5507077064847,8.562986285421584,126.22325075897682,0.0,288.7626554260695,0.0
13,08/23/2022,292.5507077064847,8.562986285421584,126.22325075897682,0.0,288.7626554260695,0.0
14,08/24/2022,292.5507077064847,8.562986285421584,126.22325075897682,0.0,288.7626554260695,0.0
15,08/25/2022,292.5507077064847,8.562986285421584,126.22325075897682,0.0,288.7626554260695,0.0
16,08/26/2022,292.5507077064847,8.562986285421584,126.22325075897682,0.0,288.7626554260695,0.0
17,08/27/2022,292.5507077064847,8.562986285421584,126.22325075897682,0.0,288.7626554260695,0.0
18,08/29/2022,401.8309762795654,224.07417569558703,190.19655428574538,164.2292919467407,660.6445419357075,126.52368643432033
19,08/30/2022,401.8309762795654,224.07417569558703,190.19655428574538,164.2292919467407,660.6445419357075,126.52368643432033
20,08/31/2022,401.8309762795654,224.07417569558703,190.19655428574538,164.2292919467407,660.6445419357075,126.52368643432033
21,09/01/2022,401.8309762795654,224.07417569558703,190.19655428574538,164.2292919467407,660.6445419357075,126.52368643432033
22,09/02/2022,401.8309762795654,224.07417569558703,190.19655428574538,164.2292919467407,660.6445419357075,126.52368643432033
23,09/03/2022,401.8309762795654,224.07417569558703,190.19655428574538,164.2292919467407,660.6445419357075,126.52368643432033
24,09/05/2022,463.01208143931126,396.6468799078106,230.56486084083446,541.4743109485137,936.3951053798206,654.8790118951418
25,09/06/2022,463.01208143931126,396.6468799078106,230.56486084083446,541.4743109485137,936.3951053798206,654.8790118951418
26,09/07/2022,463.01208143931126,396.6468799078106,230.56486084083446,541.4743109485137,936.3951053798206,654.8790118951418
27,09/08/2022,463.01208143931126,396.6468799078106,230.56486084083446,541.4743109485137,936.3951053798206,654.8790118951418
28,09/09/2022,463.01208143931126,396.6468799078106,230.56486084083446,541.4743109485137,936.3951053798206,654.8790118951418
29,09/10/2022,463.01208143931126,396.6468799078106,230.56486084083446,541.4743109485137,936.3951053798206,654.8790118951418
30,09/12/2022,673.6448077572269,689.7510681874832,345.4509324475592,1062.7070919353732,1509.7741651307756,1354.9381778342718
31,09/13/2022,673.6448077572269,689.7510681874832,345.4509324475592,1062.7070919353732,1509.7741651307756,1354.9381778342718
32,09/14/2022,673.6448077572269,689.7510681874832,345.4509324475592,1062.7070919353732,1509.7741651307756,1354.9381778342718
33,09/15/2022,673.6448077572269,689.7510681874832,345.4509324475592,1062.7070919353732,1509.7741651307756,1354.9381778342718
34,09/16/2022,673.6448077572269,689.7510681874832,345.4509324475592,1062.7070919353732,1509.7741651307756,1354.9381778342718
35,09/17/2022,673.6448077572269,689.7510681874832,345.4509324475592,1062.7070919353732,1509.7741651307756,1354.9381778342718
36,09/19/2022,735.4073021102182,812.6882907947394,383.403096217241,1289.6913294420144,1732.9930172529898,1675.5940902651123
37,09/20/2022,735.4073021102182,812.6882907947394,383.403096217241,1289.6913294420144,1732.9930172529898,1675.5940902651123
38,09/21/2022,735.4073021102182,812.6882907947394,383.403096217241,1289.6913294420144,1732.9930172529898,1675.5940902651123
39,09/22/2022,735.4073021102182,812.6882907947394,383.403096217241,1289.6913294420144,1732.9930172529898,1675.5940902651123
40,09/23/2022,735.4073021102182,812.6882907947394,383.403096217241,1289.6913294420144,1732.9930172529898,1675.5940902651123
41,09/24/2022,735.4073021102182,812.6882907947394,383.403096217241,1289.6913294420144,1732.9930172529898,1675.5940902651123
42,09/26/2022,758.4696348315218,883.3558892415859,397.0612720825503,1426.337752507055,1864.3633318486693,1904.4642121437555
43,09/27/2022,758.4696348315218,883.3558892415859,397.0612720825503,1426.337752507055,1864.3633318486693,1904.4642121437555
44,09/28/2022,758.4696348315218,883.3558892415859,397.0612720825503,1426.337752507055,1864.3633318486693,1904.4642121437555
45,09/29/2022,758.4696348315218,883.3558892415859,397.0612720825503,1426.337752507055,1864.3633318486693,1904.4642121437555
46,09/30/2022,758.4696348315218,883.3558892415859,397.0612720825503,1426.337752507055,1864.3633318486693,1904.4642121437555
47,10/01/2022,758.4696348315218,883.3558892415859,397.0612720825503,1426.337752507055,1864.3633318486693,1904.4642121437555
48,10/03/2022,838.1249631646579,1172.8016222125104,434.3439434404846,2124.9850818244677,2354.899530166356,3071.5080012064964
49,10/04/2022,838.1249631646579,1172.8016222125104,434.3439434404846,2124.9850818244677,2354.899530166356,3071.5080012064964
