,date,0_4,5_12,13_17,18_49,50_64,65+
0,08/08/2022,3822.8015341085875,3696.3979716687127,2746.6123145650863,5451.029921547338,6383.340118079438,7967.171326700462
1,08/09/2022,3822.8015341085875,3696.3979716687127,2746.6123145650863,5451.029921547338,6383.340118079438,7967.171326700462
2,08/10/2022,3822.8015341085875,3696.3979716687127,2746.6123145650863,5451.029921547338,6383.340118079438,7967.171326700462
3,08/11/2022,3822.8015341085875,3696.3979716687127,2746.6123145650863,5451.029921547338,6383.340118079438,7967.171326700462
4,08/12/2022,3822.8015341085875,3696.3979716687127,2746.6123145650863,5451.029921547338,6383.340118079438,7967.171326700462
5,08/13/2022,3822.8015341085875,3696.3979716687127,2746.6123145650863,5451.029921547338,6383.340118079438,7967.171326700462
6,08/15/2022,0.0,0.0,0.0,0.0,0.0,0.0
7,08/16/2022,0.0,0.0,0.0,0.0,0.0,0.0
8,08/17/2022,0.0,0.0,0.0,0.0,0.0,0.0
9,08/18/2022,0.0,0.0,0.0,0.0,0.0,0.0
10,08/19/2022,0.0,0.0,0.0,0.0,0.0,0.0
11,08/20/2022,0.0,0.0,0.0,0.0,0.0,0.0
12,08/22/2022,128.2233111725655,0.0,0.0,0.0,0.0,0.0
13,08/23/2022,128.2233111725655,0.0,0.0,0.0,0.0,0.0
14,08/24/2022,128.2233111725655,0.0,0.0,0.0,0.0,0.0
15,08/25/2022,128.2233111725655,0.0,0.0,0.0,0.0,0.0
16,08/26/2022,128.2233111725655,0.0,0.0,0.0,0.0,0.0
17,08/27/2022,128.2233111725655,0.0,0.0,0.0,0.0,0.0
18,08/29/2022,579.3686310019029,739.6285773864571,188.31515759694233,1035.327854626627,796.4581964858488,836.109527021594
19,08/30/2022,579.3686310019029,739.6285773864571,188.31515759694233,1035.327854626627,796.4581964858488,836.109527021594
20,08/31/2022,579.3686310019029,739.6285773864571,188.31515759694233,1035.327854626627,796.4581964858488,836.109527021594
21,09/01/2022,579.3686310019029,739.6285773864571,188.31515759694233,1035.327854626627,796.4581964858488,836.109527021594
22,09/02/2022,579.3686310019029,739.6285773864571,188.31515759694233,1035.327854626627,796.4581964858488,836.109527021594
23,09/03/2022,579.3686310019029,739.6285773864571,188.31515759694233,1035.327854626627,796.4581964858488,836.109527021594
24,09/05/2022,932.175296301046,1369.451678819521,482.88529288576825,2074.594965785863,1870.4502460825581,2269.741293698444
25,09/06/2022,932.175296301046,1369.451678819521,482.88529288576825,2074.594965785863,1870.4502460825581,2269.741293698444
26,09/07/2022,932.175296301046,1369.451678819521,482.88529288576825,2074.594965785863,1870.4502460825581,2269.741293698444
27,09/08/2022,932.175296301046,1369.451678819521,482.88529288576825,2074.594965785863,1870.4502460825581,2269.741293698444
28,09/09/2022,932.175296301046,1369.451678819521,482.88529288576825,2074.594965785863,1870.4502460825581,2269.741293698444
29,09/10/2022,932.175296301046,1369.451678819521,482.88529288576825,2074.594965785863,1870.4502460825581,2269.741293698444
30,09/12/2022,1574.180749001689,2411.24094790144,912.5333382058159,3726.8659124206883,3477.758794729553,4330.691563766833
31,09/13/2022,1574.180749001689,2411.24094790144,912.5333382058159,3726.8659124206883,3477.758794729553,4330.691563766833
32,09/14/2022,1574.180749001689,2411.24094790144,912.5333382058159,3726.8659124206883,3477.758794729553,4330.691563766833
33,09/15/2022,1574.180749001689,2411.24094790144,912.5333382058159,3726.8659124206883,3477.758794729553,4330.691563766833
