,date,0_4,5_12,13_17,18_49,50_64,65+
0,08/08/2022,1155.4219127937945,54.03406489343051,981.8573149810942,14519.76605703642,9301.286720895469,0
1,08/09/2022,1155.4219127937945,54.03406489343051,981.8573149810942,14519.76605703642,9301.286720895469,0
2,08/10/2022,1155.4219127937945,54.03406489343051,981.8573149810942,14519.76605703642,9301.286720895469,0
3,08/11/2022,1155.4219127937945,54.03406489343051,981.8573149810942,14519.76605703642,9301.286720895469,0
4,08/12/2022,1155.4219127937945,54.03406489343051,981.8573149810942,14519.76605703642,9301.286720895469,0
5,08/13/2022,1155.4219127937945,54.03406489343051,981.8573149810942,14519.76605703642,9301.286720895469,0
6,08/15/2022,1135.2560737839726,1655.993150106011,554.0833952422412,0.0,0.0,0
7,08/16/2022,1135.2560737839726,1655.993150106011,554.0833952422412,0.0,0.0,0
8,08/17/2022,1135.2560737839726,1655.993150106011,554.0833952422412,0.0,0.0,0
9,08/18/2022,1135.2560737839726,1655.993150106011,554.0833952422412,0.0,0.0,0
10,08/19/2022,1135.2560737839726,1655.993150106011,554.0833952422412,0.0,0.0,0
11,08/20/2022,1135.2560737839726,1655.993150106011,554.0833952422412,0.0,0.0,0
12,08/22/2022,1046.1483469910543,1477.6157943292346,624.6329683481056,0.0,0.0,1400.4843048653895
13,08/23/2022,1046.1483469910543,1477.6157943292346,624.6329683481056,0.0,0.0,1400.4843048653895
14,08/24/2022,1046.1483469910543,1477.6157943292346,624.6329683481056,0.0,0.0,1400.4843048653895
15,08/25/2022,1046.1483469910543,1477.6157943292346,624.6329683481056,0.0,0.0,1400.4843048653895
16,08/26/2022,1046.1483469910543,1477.6157943292346,624.6329683481056,0.0,0.0,1400.4843048653895
17,08/27/2022,1046.1483469910543,1477.6157943292346,624.6329683481056,0.0,0.0,1400.4843048653895
18,08/29/2022,1444.6339838047459,2004.7505938720856,946.0383076163788,1456.2606952057042,1325.7979331265653,3549.793525323437
19,08/30/2022,1444.6339838047459,2004.7505938720856,946.0383076163788,1456.2606952057042,1325.7979331265653,3549.793525323437
20,08/31/2022,1444.6339838047459,2004.7505938720856,946.0383076163788,1456.2606952057042,1325.7979331265653,3549.793525323437
21,09/01/2022,1444.6339838047459,2004.7505938720856,946.0383076163788,1456.2606952057042,1325.7979331265653,3549.793525323437
22,09/02/2022,1444.6339838047459,2004.7505938720856,946.0383076163788,1456.2606952057042,1325.7979331265653,3549.793525323437
23,09/03/2022,1444.6339838047459,2004.7505938720856,946.0383076163788,1456.2606952057042,1325.7979331265653,3549.793525323437
24,09/05/2022,1669.865983062322,2292.9388690022092,1149.7842219582565,3423.6996814977138,2791.039267562571,4427.524484411048
25,09/06/2022,1669.865983062322,2292.9388690022092,1149.7842219582565,3423.6996814977138,2791.039267562571,4427.524484411048
26,09/07/2022,1669.865983062322,2292.9388690022092,1149.7842219582565,3423.6996814977138,2791.039267562571,4427.524484411048
27,09/08/2022,1669.865983062322,2292.9388690022092,1149.7842219582565,3423.6996814977138,2791.039267562571,4427.524484411048
28,09/09/2022,1669.865983062322,2292.9388690022092,1149.7842219582565,3423.6996814977138,2791.039267562571,4427.524484411048
29,09/10/2022,1669.865983062322,2292.9388690022092,1149.7842219582565,3423.6996814977138,2791.039267562571,4427.524484411048
30,09/12/2022,2434.226652901042,3320.7656601933268,1725.1147642590104,6367.094305482078,5071.80020218393,6734.5282122591625
31,09/13/2022,2434.226652901042,3320.7656601933268,1725.1147642590104,6367.094305482078,5071.80020218393,6734.5282122591625
32,09/14/2022,2434.226652901042,3320.7656601933268,1725.1147642590104,6367.094305482078,5071.80020218393,6734.5282122591625
33,09/15/2022,2434.226652901042,3320.7656601933268,1725.1147642590104,6367.094305482078,5071.80020218393,6734.5282122591625
34,09/16/2022,2434.226652901042,3320.7656601933268,1725.1147642590104,6367.094305482078,5071.80020218393,6734.5282122591625
35,09/17/2022,2434.226652901042,3320.7656601933268,1725.1147642590104,6367.094305482078,5071.80020218393,6734.5282122591625
36,09/19/2022,2660.4695156979037,3615.204022546897,1916.055708583961,7637.601248556398,6049.22556918202,7532.491549255881
37,09/20/2022,2660.4695156979037,3615.204022546897,1916.055708583961,7637.601248556398,6049.22556918202,7532.491549255881
38,09/21/2022,2660.4695156979037,3615.204022546897,1916.055708583961,7637.601248556398,6049.22556918202,7532.491549255881
39,09/22/2022,2660.4695156979037,3615.204022546897,1916.055708583961,7637.601248556398,6049.22556918202,7532.491549255881
40,09/23/2022,2660.4695156979037,3615.204022546897,1916.055708583961,7637.601248556398,6049.22556918202,7532.491549255881
41,09/24/2022,2660.4695156979037,3615.204022546897,1916.055708583961,7637.601248556398,6049.22556918202,7532.491549255881
42,09/26/2022,2747.235016010634,3701.113158464736,2009.282350061036,8357.47947971825,6629.407312643155,7961.762239085638
43,09/27/2022,2747.235016010634,3701.113158464736,2009.282350061036,8357.47947971825,6629.407312643155,7961.762239085638
44,09/28/2022,2747.235016010634,3701.113158464736,2009.282350061036,8357.47947971825,6629.407312643155,7961.762239085638
45,09/29/2022,2747.235016010634,3701.113158464736,2009.282350061036,8357.47947971825,6629.407312643155,7961.762239085638
46,09/30/2022,2747.235016010634,3701.113158464736,2009.282350061036,8357.47947971825,6629.407312643155,7961.762239085638
47,10/01/2022,2747.235016010634,3701.113158464736,2009.282350061036,8357.47947971825,6629.407312643155,7961.762239085638
48,10/03/2022,3046.7349716253266,3963.8948494225347,2332.229395115572,11672.642560921098,9219.598818336612,9493.475666285925
