,date,school,work
246,4/10/2023,1,1
247,4/11/2023,1,1
248,4/12/2023,1,1
249,4/13/2023,1,1
250,4/14/2023,1,1
251,4/15/2023,0,0
252,4/16/2023,0,0
253,4/17/2023,1,1
254,4/18/2023,1,1
255,4/19/2023,1,1
256,4/20/2023,1,1
257,4/21/2023,1,1
258,4/22/2023,0,0
259,4/23/2023,0,0
260,4/24/2023,1,1
261,4/25/2023,1,1
262,4/26/2023,1,1
263,4/27/2023,1,1
264,4/28/2023,1,1
265,4/29/2023,0,0
266,4/30/2023,0,0
267,5/1/2023,1,1
268,5/2/2023,1,1
269,5/3/2023,1,1
270,5/4/2023,1,1
271,5/5/2023,1,1
272,5/6/2023,0,0
273,5/7/2023,0,0
274,5/8/2023,1,1
275,5/9/2023,1,1
276,5/10/2023,1,1
277,5/11/2023,1,1
278,5/12/2023,1,1
279,5/13/2023,0,0
280,5/14/2023,0,0
281,5/15/2023,1,1
282,5/16/2023,1,1
283,5/17/2023,1,1
284,5/18/2023,1,1
285,5/19/2023,1,1
286,5/20/2023,0,0
287,5/21/2023,0,0
288,5/22/2023,1,1
289,5/23/2023,1,1
290,5/24/2023,1,1
291,5/25/2023,1,1
292,5/26/2023,1,1
293,5/27/2023,0,0
294,5/28/2023,0,0
295,5/29/2023,1,1
296,5/30/2023,1,1
297,5/31/2023,1,1
298,6/1/2023,0,1
299,6/2/2023,0,1
300,6/3/2023,0,0
301,6/4/2023,0,0
302,6/5/2023,0,1
303,6/6/2023,0,1
304,6/7/2023,0,1
305,6/8/2023,0,1
306,6/9/2023,0,1
307,6/10/2023,0,0
308,6/11/2023,0,0
309,6/12/2023,0,1
310,6/13/2023,0,1
311,6/14/2023,0,1
312,6/15/2023,0,1
313,6/16/2023,0,1
314,6/17/2023,0,0
315,6/18/2023,0,0
316,6/19/2023,0,1
317,6/20/2023,0,1
318,6/21/2023,0,1
319,6/22/2023,0,1
320,6/23/2023,0,1
321,6/24/2023,0,0
322,6/25/2023,0,0
323,6/26/2023,0,1
324,6/27/2023,0,1
325,6/28/2023,0,1
326,6/29/2023,0,1
327,6/30/2023,0,1
328,7/1/2023,0,0
329,7/2/2023,0,0
330,7/3/2023,0,1
331,7/4/2023,0,1
332,7/5/2023,0,1
333,7/6/2023,0,1
