date,0_1,2_4,5_11,12_18,19_49,50_64,65+
2/17/23,332.136986,0,0,0,0,0,0
2/18/23,332.136986,0,0,0,0,0,0
2/19/23,332.136986,0,0,0,0,0,0
2/20/23,332.136986,0,0,0,0,0,0
2/21/23,332.136986,0,0,0,0,0,0
2/22/23,332.136986,0,0,0,0,0,0
2/23/23,332.136986,0,0,0,0,0,0
2/24/23,332.136986,0,0,0,0,0,0
2/25/23,332.136986,0,0,0,0,0,0
2/26/23,332.136986,0,0,0,0,0,0
2/27/23,332.136986,0,0,0,0,0,0
2/28/23,332.136986,0,0,0,0,0,0
3/1/23,332.136986,0,0,0,0,0,0
3/2/23,332.136986,0,0,0,0,0,0
3/3/23,332.136986,0,0,0,0,0,0
3/4/23,332.136986,0,0,0,0,0,0
3/5/23,332.136986,0,0,0,0,0,0
3/6/23,332.136986,0,0,0,0,0,0
3/7/23,332.136986,0,0,0,0,0,0
3/8/23,332.136986,0,0,0,0,0,0
3/9/23,332.136986,0,0,0,0,0,0
3/10/23,332.136986,0,0,0,0,0,0
3/11/23,332.136986,0,0,0,0,0,0
3/12/23,332.136986,0,0,0,0,0,0
3/13/23,332.136986,0,0,0,0,0,0
3/14/23,332.136986,0,0,0,0,0,0
3/15/23,332.136986,0,0,0,0,0,0
3/16/23,332.136986,0,0,0,0,0,0
3/17/23,332.136986,0,0,0,0,0,0
3/18/23,332.136986,0,0,0,0,0,0
3/19/23,332.136986,0,0,0,0,0,0
3/20/23,332.136986,0,0,0,0,0,0
3/21/23,332.136986,0,0,0,0,0,0
3/22/23,332.136986,0,0,0,0,0,0
3/23/23,332.136986,0,0,0,0,0,0
3/24/23,332.136986,0,0,0,0,0,0
3/25/23,332.136986,0,0,0,0,0,0
3/26/23,332.136986,0,0,0,0,0,0
3/27/23,332.136986,0,0,0,0,0,0
3/28/23,332.136986,0,0,0,0,0,0
3/29/23,332.136986,0,0,0,0,0,0
3/30/23,332.136986,0,0,0,0,0,0
3/31/23,332.136986,0,0,0,0,0,0
4/1/23,332.136986,0,0,0,0,0,0
4/2/23,332.136986,0,0,0,0,0,0
4/3/23,332.136986,0,0,0,0,0,0
4/4/23,332.136986,0,0,0,0,0,0
4/5/23,332.136986,0,0,0,0,0,0
4/6/23,332.136986,0,0,0,0,0,0
4/7/23,332.136986,0,0,0,0,0,0
4/8/23,332.136986,0,0,0,0,0,0
4/9/23,332.136986,0,0,0,0,0,0
4/10/23,332.136986,0,0,0,0,0,0
4/11/23,332.136986,0,0,0,0,0,0
4/12/23,332.136986,0,0,0,0,0,0
4/13/23,332.136986,0,0,0,0,0,0
4/14/23,332.136986,0,0,0,0,0,0
4/15/23,332.136986,0,0,0,0,0,0
4/16/23,332.136986,0,0,0,0,0,0
4/17/23,332.136986,0,0,0,0,0,0
4/18/23,332.136986,0,0,0,0,0,0
4/19/23,332.136986,0,0,0,0,0,0
4/20/23,332.136986,0,0,0,0,0,0
4/21/23,332.136986,0,0,0,0,0,0
4/22/23,332.136986,0,0,0,0,0,0
4/23/23,332.136986,0,0,0,0,0,0
4/24/23,332.136986,0,0,0,0,0,0
4/25/23,332.136986,0,0,0,0,0,0
4/26/23,332.136986,0,0,0,0,0,0
4/27/23,332.136986,0,0,0,0,0,0
4/28/23,332.136986,0,0,0,0,0,0
4/29/23,332.136986,0,0,0,0,0,0
4/30/23,332.136986,0,0,0,0,0,0
5/1/23,332.136986,0,0,0,0,0,0
5/2/23,332.136986,0,0,0,0,0,0
5/3/23,332.136986,0,0,0,0,0,0
5/4/23,332.136986,0,0,0,0,0,0
5/5/23,332.136986,0,0,0,0,0,0
5/6/23,332.136986,0,0,0,0,0,0
5/7/23,332.136986,0,0,0,0,0,0
5/8/23,332.136986,0,0,0,0,0,0
5/9/23,332.136986,0,0,0,0,0,0
5/10/23,332.136986,0,0,0,0,0,0
5/11/23,332.136986,0,0,0,0,0,0
5/12/23,332.136986,0,0,0,0,0,0
5/13/23,332.136986,0,0,0,0,0,0
5/14/23,332.136986,0,0,0,0,0,0
5/15/23,332.136986,0,0,0,0,0,0
5/16/23,332.136986,0,0,0,0,0,0
5/17/23,332.136986,0,0,0,0,0,0
5/18/23,332.136986,0,0,0,0,0,0
5/19/23,332.136986,0,0,0,0,0,0
5/20/23,332.136986,0,0,0,0,0,0
5/21/23,332.136986,0,0,0,0,0,0
5/22/23,332.136986,0,0,0,0,0,0
5/23/23,332.136986,0,0,0,0,0,0
5/24/23,332.136986,0,0,0,0,0,0
5/25/23,332.136986,0,0,0,0,0,0
5/26/23,332.136986,0,0,0,0,0,0
5/27/23,332.136986,0,0,0,0,0,0
5/28/23,332.136986,0,0,0,0,0,0
5/29/23,332.136986,0,0,0,0,0,0
5/30/23,332.136986,0,0,0,0,0,0
5/31/23,332.136986,0,0,0,0,0,0
6/1/23,332.136986,0,0,0,0,0,0
6/2/23,332.136986,0,0,0,0,0,0
6/3/23,332.136986,0,0,0,0,0,0
6/4/23,332.136986,0,0,0,0,0,0
6/5/23,332.136986,0,0,0,0,0,0
6/6/23,332.136986,0,0,0,0,0,0
6/7/23,332.136986,0,0,0,0,0,0
6/8/23,332.136986,0,0,0,0,0,0
6/9/23,332.136986,0,0,0,0,0,0
6/10/23,332.136986,0,0,0,0,0,0
6/11/23,332.136986,0,0,0,0,0,0
6/12/23,332.136986,0,0,0,0,0,0
6/13/23,332.136986,0,0,0,0,0,0
6/14/23,332.136986,0,0,0,0,0,0
6/15/23,332.136986,0,0,0,0,0,0
6/16/23,332.136986,0,0,0,0,0,0
6/17/23,332.136986,0,0,0,0,0,0
6/18/23,332.136986,0,0,0,0,0,0
6/19/23,332.136986,0,0,0,0,0,0
6/20/23,332.136986,0,0,0,0,0,0
6/21/23,332.136986,0,0,0,0,0,0
6/22/23,332.136986,0,0,0,0,0,0
6/23/23,332.136986,0,0,0,0,0,0
6/24/23,332.136986,0,0,0,0,0,0
6/25/23,332.136986,0,0,0,0,0,0
6/26/23,332.136986,0,0,0,0,0,0
6/27/23,332.136986,0,0,0,0,0,0
6/28/23,332.136986,0,0,0,0,0,0
6/29/23,332.136986,0,0,0,0,0,0
6/30/23,332.136986,0,0,0,0,0,0
7/1/23,332.136986,0,0,0,0,0,0
7/2/23,332.136986,0,0,0,0,0,0
7/3/23,332.136986,0,0,0,0,0,0
7/4/23,332.136986,0,0,0,0,0,0
7/5/23,332.136986,0,0,0,0,0,0
