date,0_1,2_4,5_11,12_18,19_49,50_64,65+
12/31/2022,58.44748858447488,0,0,0,0,0.0,0.0
01/01/2023,58.44748858447488,0,0,0,0,0.0,0.0
01/02/2023,58.44748858447488,0,0,0,0,0.0,0.0
01/03/2023,58.44748858447488,0,0,0,0,0.0,0.0
01/04/2023,58.44748858447488,0,0,0,0,0.0,0.0
01/05/2023,58.44748858447488,0,0,0,0,0.0,0.0
01/06/2023,58.44748858447488,0,0,0,0,0.0,0.0
01/07/2023,58.44748858447488,0,0,0,0,0.0,0.0
01/08/2023,58.44748858447488,0,0,0,0,0.0,0.0
01/09/2023,58.44748858447488,0,0,0,0,0.0,0.0
01/10/2023,58.44748858447488,0,0,0,0,0.0,0.0
01/11/2023,58.44748858447488,0,0,0,0,0.0,0.0
01/12/2023,58.44748858447488,0,0,0,0,0.0,0.0
01/13/2023,58.44748858447488,0,0,0,0,0.0,0.0
01/14/2023,58.44748858447488,0,0,0,0,0.0,0.0
01/15/2023,58.44748858447488,0,0,0,0,0.0,0.0
01/16/2023,58.44748858447488,0,0,0,0,0.0,0.0
01/17/2023,58.44748858447488,0,0,0,0,0.0,0.0
01/18/2023,58.44748858447488,0,0,0,0,0.0,0.0
01/19/2023,58.44748858447488,0,0,0,0,0.0,0.0
01/20/2023,58.44748858447488,0,0,0,0,0.0,0.0
01/21/2023,58.44748858447488,0,0,0,0,0.0,0.0
01/22/2023,58.44748858447488,0,0,0,0,0.0,0.0
01/23/2023,58.44748858447488,0,0,0,0,0.0,0.0
01/24/2023,58.44748858447488,0,0,0,0,0.0,0.0
01/25/2023,58.44748858447488,0,0,0,0,0.0,0.0
01/26/2023,58.44748858447488,0,0,0,0,0.0,0.0
01/27/2023,58.44748858447488,0,0,0,0,0.0,0.0
01/28/2023,58.44748858447488,0,0,0,0,0.0,0.0
01/29/2023,58.44748858447488,0,0,0,0,0.0,0.0
01/30/2023,58.44748858447488,0,0,0,0,0.0,0.0
01/31/2023,58.44748858447488,0,0,0,0,0.0,0.0
02/01/2023,58.44748858447488,0,0,0,0,0.0,0.0
02/02/2023,58.44748858447488,0,0,0,0,0.0,0.0
02/03/2023,58.44748858447488,0,0,0,0,0.0,0.0
02/04/2023,58.44748858447488,0,0,0,0,0.0,0.0
02/05/2023,58.44748858447488,0,0,0,0,0.0,0.0
02/06/2023,58.44748858447488,0,0,0,0,0.0,0.0
02/07/2023,58.44748858447488,0,0,0,0,0.0,0.0
02/08/2023,58.44748858447488,0,0,0,0,0.0,0.0
02/09/2023,58.44748858447488,0,0,0,0,0.0,0.0
02/10/2023,58.44748858447488,0,0,0,0,0.0,0.0
02/11/2023,58.44748858447488,0,0,0,0,0.0,0.0
02/12/2023,58.44748858447488,0,0,0,0,0.0,0.0
