,date,0_1,2_4,5_11,12_18,19_49,50_64,65+,65_diff,50_64_diff,19_49_diff,12_18_diff,5_11_diff
118,01/29/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
119,01/30/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
120,01/31/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
121,02/01/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
122,02/02/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
123,02/03/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
124,02/04/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
125,02/05/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
126,02/06/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
127,02/07/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
128,02/08/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
129,02/09/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
130,02/10/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
131,02/11/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
132,02/12/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
133,02/13/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
134,02/14/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
135,02/15/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
136,02/16/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
137,02/17/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
138,02/18/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
139,02/19/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
140,02/20/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
141,02/21/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
142,02/22/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
143,02/23/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
144,02/24/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
145,02/25/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
146,02/26/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
147,02/27/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
148,02/28/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
149,03/01/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
150,03/02/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
151,03/03/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
152,03/04/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
153,03/05/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
154,03/06/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
155,03/07/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
156,03/08/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
157,03/09/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
158,03/10/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
159,03/11/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
160,03/12/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
161,03/13/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
162,03/14/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
163,03/15/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
164,03/16/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
165,03/17/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
166,03/18/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
167,03/19/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
168,03/20/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
169,03/21/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
170,03/22/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
171,03/23/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
172,03/24/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
173,03/25/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
174,03/26/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
175,03/27/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
176,03/28/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
177,03/29/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
178,03/30/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
179,03/31/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
180,04/01/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
181,04/02/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
182,04/03/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
183,04/04/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
184,04/05/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
185,04/06/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
186,04/07/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
187,04/08/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
188,04/09/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
189,04/10/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
190,04/11/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
191,04/12/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
192,04/13/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
193,04/14/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
194,04/15/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
195,04/16/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
196,04/17/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
197,04/18/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
198,04/19/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
199,04/20/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
200,04/21/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
201,04/22/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
202,04/23/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
203,04/24/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
204,04/25/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
205,04/26/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
206,04/27/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
207,04/28/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
208,04/29/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
209,04/30/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
210,05/01/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
211,05/02/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
212,05/03/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
213,05/04/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
214,05/05/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
215,05/06/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
216,05/07/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
217,05/08/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
218,05/09/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
219,05/10/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
220,05/11/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
221,05/12/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
222,05/13/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
223,05/14/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
224,05/15/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
225,05/16/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
226,05/17/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
227,05/18/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
228,05/19/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
229,05/20/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
230,05/21/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
231,05/22/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
232,05/23/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
233,05/24/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
234,05/25/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
235,05/26/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
236,05/27/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
237,05/28/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
238,05/29/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
239,05/30/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
240,05/31/2023,58.447488584474875,0,0,0,0,0,0,0,0,0,0,0
