,date,death
0,2022/08/08,2.142857142857143
1,2022/08/09,2.142857142857143
2,2022/08/10,2.142857142857143
3,2022/08/11,2.142857142857143
4,2022/08/12,2.142857142857143
5,2022/08/13,2.142857142857143
6,2022/08/14,2.142857142857143
7,2022/08/15,2.7142857142857144
8,2022/08/16,2.7142857142857144
9,2022/08/17,2.7142857142857144
10,2022/08/18,2.7142857142857144
11,2022/08/19,2.7142857142857144
12,2022/08/20,2.7142857142857144
13,2022/08/21,2.7142857142857144
14,2022/08/22,2.0
15,2022/08/23,2.0
16,2022/08/24,2.0
17,2022/08/25,2.0
18,2022/08/26,2.0
19,2022/08/27,2.0
20,2022/08/28,2.0
21,2022/08/29,1.7142857142857142
22,2022/08/30,1.7142857142857142
23,2022/08/31,1.7142857142857142
24,2022/09/01,1.7142857142857142
25,2022/09/02,1.7142857142857142
26,2022/09/03,1.7142857142857142
27,2022/09/04,1.7142857142857142
28,2022/09/05,2.7142857142857144
29,2022/09/06,2.7142857142857144
30,2022/09/07,2.7142857142857144
31,2022/09/08,2.7142857142857144
32,2022/09/09,2.7142857142857144
33,2022/09/10,2.7142857142857144
34,2022/09/11,2.7142857142857144
35,2022/09/12,2.4285714285714284
36,2022/09/13,2.4285714285714284
37,2022/09/14,2.4285714285714284
38,2022/09/15,2.4285714285714284
39,2022/09/16,2.4285714285714284
40,2022/09/17,2.4285714285714284
41,2022/09/18,2.4285714285714284
42,2022/09/19,2.857142857142857
43,2022/09/20,2.857142857142857
44,2022/09/21,2.857142857142857
45,2022/09/22,2.857142857142857
46,2022/09/23,2.857142857142857
47,2022/09/24,2.857142857142857
48,2022/09/25,2.857142857142857
49,2022/09/26,3.2857142857142856
50,2022/09/27,3.2857142857142856
51,2022/09/28,3.2857142857142856
52,2022/09/29,3.2857142857142856
53,2022/09/30,3.2857142857142856
54,2022/10/01,3.2857142857142856
55,2022/10/02,3.2857142857142856
56,2022/10/03,4.0
57,2022/10/04,4.0
58,2022/10/05,4.0
59,2022/10/06,4.0
60,2022/10/07,4.0
61,2022/10/08,4.0
62,2022/10/09,4.0
63,2022/10/10,8.0
64,2022/10/11,8.0
65,2022/10/12,8.0
66,2022/10/13,8.0
67,2022/10/14,8.0
68,2022/10/15,8.0
69,2022/10/16,8.0
70,2022/10/17,8.142857142857142
71,2022/10/18,8.142857142857142
72,2022/10/19,8.142857142857142
73,2022/10/20,8.142857142857142
74,2022/10/21,8.142857142857142
75,2022/10/22,8.142857142857142
76,2022/10/23,8.142857142857142
77,2022/10/24,13.571428571428571
78,2022/10/25,13.571428571428571
79,2022/10/26,13.571428571428571
80,2022/10/27,13.571428571428571
81,2022/10/28,13.571428571428571
82,2022/10/29,13.571428571428571
83,2022/10/30,13.571428571428571
84,2022/10/31,22.285714285714285
85,2022/11/01,22.285714285714285
86,2022/11/02,22.285714285714285
87,2022/11/03,22.285714285714285
88,2022/11/04,22.285714285714285
89,2022/11/05,22.285714285714285
90,2022/11/06,22.285714285714285
91,2022/11/07,32.57142857142857
92,2022/11/08,32.57142857142857
93,2022/11/09,32.57142857142857
94,2022/11/10,32.57142857142857
95,2022/11/11,32.57142857142857
96,2022/11/12,32.57142857142857
97,2022/11/13,32.57142857142857
98,2022/11/14,36.857142857142854
99,2022/11/15,36.857142857142854
100,2022/11/16,36.857142857142854
101,2022/11/17,36.857142857142854
102,2022/11/18,36.857142857142854
103,2022/11/19,36.857142857142854
104,2022/11/20,36.857142857142854
105,2022/11/21,61.142857142857146
106,2022/11/22,61.142857142857146
107,2022/11/23,61.142857142857146
108,2022/11/24,61.142857142857146
109,2022/11/25,61.142857142857146
110,2022/11/26,61.142857142857146
111,2022/11/27,61.142857142857146
112,2022/11/28,121.71428571428571
113,2022/11/29,121.71428571428571
114,2022/11/30,121.71428571428571
115,2022/12/01,121.71428571428571
116,2022/12/02,121.71428571428571
117,2022/12/03,121.71428571428571
118,2022/12/04,121.71428571428571
119,2022/12/05,146.42857142857142
120,2022/12/06,146.42857142857142
121,2022/12/07,146.42857142857142
122,2022/12/08,146.42857142857142
123,2022/12/09,146.42857142857142
124,2022/12/10,146.42857142857142
125,2022/12/11,146.42857142857142
126,2022/12/12,149.85714285714286
127,2022/12/13,149.85714285714286
128,2022/12/14,149.85714285714286
129,2022/12/15,149.85714285714286
130,2022/12/16,149.85714285714286
131,2022/12/17,149.85714285714286
132,2022/12/18,149.85714285714286
133,2022/12/19,136.0
134,2022/12/20,136.0
135,2022/12/21,136.0
136,2022/12/22,136.0
137,2022/12/23,136.0
138,2022/12/24,136.0
139,2022/12/25,136.0
140,2022/12/26,141.42857142857142
141,2022/12/27,141.42857142857142
142,2022/12/28,141.42857142857142
143,2022/12/29,141.42857142857142
144,2022/12/30,141.42857142857142
145,2022/12/31,141.42857142857142
146,2023/01/01,141.42857142857142
147,2023/01/02,126.28571428571429
148,2023/01/03,126.28571428571429
149,2023/01/04,126.28571428571429
150,2023/01/05,126.28571428571429
151,2023/01/06,126.28571428571429
152,2023/01/07,126.28571428571429
153,2023/01/08,126.28571428571429
154,2023/01/09,89.42857142857143
155,2023/01/10,89.42857142857143
156,2023/01/11,89.42857142857143
157,2023/01/12,89.42857142857143
158,2023/01/13,89.42857142857143
159,2023/01/14,89.42857142857143
160,2023/01/15,89.42857142857143
161,2023/01/16,55.42857142857143
162,2023/01/17,55.42857142857143
163,2023/01/18,55.42857142857143
164,2023/01/19,55.42857142857143
165,2023/01/20,55.42857142857143
166,2023/01/21,55.42857142857143
167,2023/01/22,55.42857142857143
