,date,sero,sero1,sero2,sero12,sero45
110,2022-04-10,0.7582926331611042,0.5276205845040023,0.07005735792831705,0.003319350010755585,0.15777333337639485
111,2022-04-11,0.757857447092702,0.5247140997942187,0.07297174629501087,0.003802821404188124,0.15686199886641658
112,2022-04-12,0.7558455712402381,0.5217585748682738,0.07453497060507178,0.0040965210241414775,0.15595592843098946
113,2022-04-13,0.7522662699869163,0.5187670652582006,0.07476201372713294,0.004182745672647739,0.15505509166362655
114,2022-04-14,0.7494874239060082,0.5158100104352379,0.07563389298772892,0.004387585637528189,0.15415945833347566
115,2022-04-15,0.7459387614571183,0.5128480537365455,0.07584337566801948,0.0044816219630614195,0.15326899838430486
116,2022-04-16,0.7416300502123319,0.509885727215686,0.0754052871512825,0.00445573509949449,0.1523836819334938
117,2022-04-17,0.7373462270596385,0.5069405117637917,0.0749697291330473,0.004429997764315018,0.15150347927103094
118,2022-04-18,0.7346249936069961,0.5040364517078584,0.07578590015429688,0.0046731166717778,0.15062836085851647
119,2022-04-19,0.730381633247933,0.5011250229961856,0.07534814362914564,0.004646123691398879,0.14975829732817109
120,2022-04-20,0.726162783499445,0.4982304113562035,0.07491291568483757,0.004619286628588664,0.14889325948185042
121,2022-04-21,0.7257593810171604,0.4953941611358003,0.07748391188393695,0.005346613249512038,0.14803321829006522
122,2022-04-22,0.7238407187317402,0.4925548138397049,0.07882056379961383,0.00578743829307247,0.1471781448910071
123,2022-04-23,0.7196596507870452,0.48970970566900307,0.07836527836988176,0.005754008738609905,0.14632801058958006
124,2022-04-24,0.7170067127239704,0.48689257300259814,0.07906854751949294,0.006059887469668176,0.14548278685643745
125,2022-04-25,0.7128651195459106,0.4840801712174954,0.07861182967962538,0.006024884187050584,0.14464244532702458
126,2022-04-26,0.7087474491481375,0.48128401450212555,0.07815774994544962,0.0059900830913217976,0.14380695780062688
127,2022-04-27,0.706136647734377,0.47851195242487815,0.07880602203888591,0.006332916572978413,0.14297629623942348
128,2022-04-28,0.7027968851242733,0.47575146956611447,0.07889166282673941,0.006491955258068522,0.14215043276754633
129,2022-04-29,0.7002090613677989,0.4730096208721877,0.07949822666121614,0.00685939280177281,0.14132933967014466
130,2022-04-30,0.6961644952287188,0.4702774101631436,0.07903902689730166,0.006819771395265293,0.140512989392455
131,2022-05-01,0.6921432914197712,0.46756098132201346,0.07858247957523444,0.006780378850976198,0.13970135453887642
132,2022-05-02,0.6881453149948453,0.4648602431891535,0.07812856937390958,0.0067412138469455105,0.13889440787205118
133,2022-05-03,0.686335884874899,0.46218074413504656,0.07914716353220436,0.007388649517431243,0.1381088969305117
134,2022-05-04,0.6838116240379732,0.45951440852148046,0.07965111551528409,0.007818753133374443,0.13732335228536507
135,2022-05-05,0.6798617732110063,0.45686014921570267,0.07919103263071847,0.007773590244292004,0.13653014149818474
136,2022-05-06,0.6759347376170755,0.4542212215128772,0.07873360728910503,0.0077286882262865095,0.1357415124761771
137,2022-05-07,0.672740512750738,0.45159867928933295,0.07872743642700827,0.007941946395436673,0.13496531163298484
138,2022-05-08,0.671682887679752,0.4489941766839171,0.08002466573377909,0.008956851115332972,0.13422001028355715
139,2022-05-09,0.6713333779631885,0.4464051479498343,0.08170526829534741,0.010271484957580505,0.13349152359928876
140,2022-05-10,0.6688670481830277,0.4438281925974116,0.0820722377503772,0.010775455381030143,0.13274090279343462
141,2022-05-11,0.665706881280901,0.441265239222495,0.0820072484729075,0.011002433076238346,0.13198530522037805
142,2022-05-12,0.6632622777962592,0.43871762480736615,0.08233014383508346,0.011531811428526132,0.13124718510408753
143,2022-05-13,0.6601291193062909,0.43618403733943056,0.08224248061522293,0.01176913486572138,0.1305022824445454
144,2022-05-14,0.6577060539317446,0.43366550142154336,0.08252170439809364,0.012323209361907908,0.1297772192534867
145,2022-05-15,0.6559850201686127,0.43116182592339275,0.0831453569522062,0.013206984211390254,0.1290745514283112
146,2022-05-16,0.6542689843295204,0.4286724647393012,0.08373543489555499,0.014108117482468091,0.12838015657445326
147,2022-05-17,0.6532473163734808,0.4261976844965963,0.08463902607272691,0.01535930884045657,0.12771293770861555
148,2022-05-18,0.6508508245655186,0.4237364583114925,0.08482455977889787,0.015952021050905853,0.12701576387230223
149,2022-05-19,0.6477774747066285,0.421289120357023,0.08466161040692174,0.016207315867659017,0.12630413776287452
150,2022-05-20,0.6467684432770506,0.4188565761763664,0.0854389820599847,0.01752815196142003,0.12567040343754818
151,2022-05-21,0.6457613760519647,0.4164379775574123,0.08617419367883063,0.018869247082457952,0.1250489081574504
152,2022-05-22,0.6433937906418636,0.4140328967613,0.08627210305982334,0.019494910659433002,0.12438345616381381
153,2022-05-23,0.640356374930457,0.4116415076702371,0.08606179531130889,0.019755402721576318,0.12369588478700734
154,2022-05-24,0.6366575314651518,0.40926377308321155,0.08556468288819255,0.019641291040765594,0.12298138933878248
