,date,school,work,,,,
200,4/20/23,1,1,,,,
201,4/21/23,1,1,,,,
202,4/22/23,0,0,,,,
203,4/23/23,0,0,,,,
204,4/24/23,1,1,,,,
205,4/25/23,1,1,,,,
206,4/26/23,1,1,,,,
207,4/27/23,1,1,,,,
208,4/28/23,1,1,,,,
209,4/29/23,0,0,,,,
210,4/30/23,0,0,,,,
211,5/1/23,1,1,,,,
212,5/2/23,1,1,,,,
213,5/3/23,1,1,,,,
214,5/4/23,1,1,,,,
215,5/5/23,1,1,,,,
216,5/6/23,0,0,,,,
217,5/7/23,0,0,,,,
218,5/8/23,1,1,,,,
219,5/9/23,1,1,,,,
220,5/10/23,1,1,,,,
221,5/11/23,1,1,,,,
222,5/12/23,1,1,,,,
223,5/13/23,0,0,,,,
224,5/14/23,0,0,,,,
225,5/15/23,1,1,,,,
226,5/16/23,1,1,,,,
227,5/17/23,1,1,,,,
228,5/18/23,1,1,,,,
229,5/19/23,1,1,,,,
230,5/20/23,0,0,,,,
231,5/21/23,0,0,,,,
232,5/22/23,1,1,,,,
233,5/23/23,1,1,,,,
234,5/24/23,1,1,,,,
235,5/25/23,1,1,,,,
236,5/26/23,1,1,,,,
237,5/27/23,0,0,,,,
238,5/28/23,0,0,,,,
239,5/29/23,1,1,,,,
240,5/30/23,1,1,,,,
241,5/31/23,1,1,,,,
242,6/1/23,0,1,,,,
243,6/2/23,0,1,,,,
244,6/3/23,0,0,,,,
245,6/4/23,0,0,,,,
246,6/5/23,0,1,,,,
247,6/6/23,0,1,,,,
248,6/7/23,0,1,,,,
249,6/8/23,0,1,,,,
250,6/9/23,0,1,,,,
251,6/10/23,0,0,,,,
252,6/11/23,0,0,,,,
253,6/12/23,0,1,,,,
254,6/13/23,0,1,,,,
255,6/14/23,0,1,,,,
256,6/15/23,0,1,,,,
257,6/16/23,0,1,,,,
258,6/17/23,0,0,,,,
259,6/18/23,0,0,,,,
260,6/19/23,0,1,,,,
261,6/20/23,0,1,,,,
262,6/21/23,0,1,,,,
263,6/22/23,0,1,,,,
264,6/23/23,0,1,,,,
265,6/24/23,0,0,,,,
266,6/25/23,0,0,,,,
267,6/26/23,0,1,,,,
268,6/27/23,0,1,,,,
269,6/28/23,0,1,,,,
270,6/29/23,0,1,,,,
271,6/30/23,0,1,,,,
272,7/1/23,0,0,,,,
273,7/2/23,0,0,,,,
274,7/3/23,0,1,,,,
275,7/4/23,0,1,,,,
276,7/5/23,0,1,,,,
277,7/6/23,0,1,,,,
278,7/7/23,0,1,,,,
279,7/8/23,0,0,,,,
280,7/9/23,0,0,,,,
281,7/10/23,0,1,,,,
282,7/11/23,0,1,,,,
